N.º de venda,Data da venda,Status,Descrição do status,Pacote de diversos produtos,Unidades,Receita por produtos (BRL),Receita por envio (BRL),Tarifa de venda e impostos,Tarifas de envio,Cancelamentos e reembolsos (BRL),Total (BRL),Venda por publicidade,SKU,# de anúncio,Título do anúncio,Variação,Preço unitário de venda do anúncio (BRL),Tipo de anúncio,ID_Cliente,Estado,País,Forma de entrega,Data a caminho completa,Data de entrega completa,Reclamação aberta,Reclamação encerrada,Em mediação
2000004338668469,2023-04-03 23:54:00,Entregue,Chegou em 10 de abril,Sim,1.0,229.9,0.0,-27.59,-21.45,0.0,180.86,Não,KIT-WBAUN-CREA-250G,MLB3179617242,Kit Whey Protein Concentrado Growth 1kg Creatina Growth 250g,Sabor : Baunilha,229.9,Clássico,XIVKEZ,Minas Gerais,Brasil,Correios,2023-04-04 15:31:00,2023-04-10 18:14:00,Não,0.0,Não
2000005377650162,2023-03-30 10:46:00,Entregue,Chegou em 5 de abril,Não,2.0,119.92,9.21,-25.4,-9.21,0.0,94.52,Não,CREAPURE-GROWTH-100G,MLB3204528688,Creatina Growth Creapure Monohidratada Pote 100g,Sabor : Sem Sabor,59.96,Clássico,MMK57X,Paraná,Brasil,Correios,2023-03-31 11:28:00,2023-04-05 10:21:00,Não,0.0,Não
2000004323893831,2023-03-29 10:45:00,Entregue,Chegou em 4 de abril,Sim,3.0,179.88,0.0,-38.1,0.0,0.0,141.78,Não,CREAPURE-GROWTH-100G,MLB3204528688,Creatina Growth Creapure Monohidratada Pote 100g,Sabor : Sem Sabor,59.96,Clássico,C34U9B,Paraná,Brasil,Correios,2023-03-30 11:36:00,2023-04-04 15:20:00,Não,0.0,Não
2000004322941377,2023-03-28 22:32:00,Entregue,Chegou em 13 de abril,Sim,1.0,141.9,9.2,-17.03,-30.65,0.0,103.42,Não,WHEY-GROWTH-80-1KG-SORVETECREME,MLB2787409678,Suplemento Em Pó Whey Protein Concentrado 80% Growth 1kg,Sabor : Sorvete de creme,141.9,Clássico,DFWWNY,Rio de Janeiro,Brasil,Correios,2023-03-29 11:37:00,2023-04-13 16:13:00,Não,0.0,Não
2000005324140878,2023-03-21 08:37:00,Entregue,Chegou em 31 de março,Não,1.0,116.72,0.0,-14.01,-18.45,0.0,84.26,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,116.72,Clássico,KTPZM2,Goiás,Brasil,Correios,2023-03-22 11:40:00,2023-03-31 14:40:00,Não,0.0,Não
2000005324074338,2023-03-21 08:15:00,Entregue,Chegou em 3 de abril,Não,1.0,229.9,15.26,-27.59,-36.71,0.0,180.86,Não,KIT-WBAUN-CREA-250G,MLB3179617242,Kit Whey Protein Concentrado Growth 1kg Creatina Growth 250g,Sabor : Baunilha,229.9,Clássico,93ML38,Mato Grosso,Brasil,Correios,2023-03-22 11:40:00,2023-04-03 08:32:00,Não,0.0,Não
2000005319667798,2023-03-20 14:54:00,Entregue,Chegou em 24 de março,Não,1.0,229.9,0.0,-27.59,-21.45,0.0,180.86,Não,KIT-WCHOC-CREA-250G,MLB3179617242,Kit Whey Protein Concentrado Growth 1kg Creatina Growth 250g,Sabor : Chocolate,229.9,Clássico,3EVCQS,São Paulo,Brasil,Correios,2023-03-21 11:38:00,2023-03-24 16:54:00,Não,0.0,Não
2000005319564500,2023-03-20 14:37:00,Entregue,Chegou em 27 de março,Não,1.0,141.9,9.2,-17.03,-30.65,0.0,103.42,Não,WHEY-GROWTH-80-1KG-CHOCOLATE,MLB2787409678,Suplemento Em Pó Whey Protein Concentrado 80% Growth 1kg,Sabor : Chocolate,141.9,Clássico,VI1OXT,Minas Gerais,Brasil,Correios,2023-03-21 11:38:00,2023-03-27 14:42:00,Não,0.0,Não
2000005319353458,2023-03-20 14:09:00,Entregue,Chegou em 24 de março,Não,1.0,116.72,0.0,-14.01,-18.45,0.0,84.26,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,116.72,Clássico,7OS36K,Minas Gerais,Brasil,Correios,2023-03-21 11:38:00,2023-03-24 18:03:00,Não,0.0,Não
2000004298241237,2023-03-19 13:41:00,Entregue,Chegou em 23 de março,Sim,1.0,116.72,0.0,-14.01,-18.45,0.0,84.26,Sim,CREAMONO-GROWTH-250G,MLB3178606303,Creatina Growth Monohidratada Pote 250g,Sabor : Sem Sabor,116.72,Clássico,Y8E25R,São Paulo,Brasil,Correios,2023-03-20 11:36:00,2023-03-23 14:29:00,Não,0.0,Não
